RMOWNHH,OMB13CBSA,DIVISION,HHSEX,HHMAR,HHCITSHP,HHAGE,HHRACE,HHGRAD,NUMPEOPLE,HINCP
'2','47900','5','1','3','1',85,'01','45',1,102000
'-6','99998','6','2','1','1',58,'01','40',2,36800
'2','99998','5','2','6','1',51,'02','39',2,40000
'-6','47900','5','1','1','1',62,'04','44',2,112000
'-6','47900','5','2','1','1',41,'03','40',6,16840
'-6','99998','6','1','4','1',70,'01','39',1,11000
'-6','99998','9','2','6','5',40,'04','47',2,80250
'-6','47900','5','1','1','1',31,'01','44',4,132000
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','9','2','4','1',72,'01','43',1,57900
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','2','4','1',46,'01','39',3,20000
'-6','99998','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','1','1','1',61,'01','44',3,60000
'-6','99998','6','2','6','1',42,'02','37',3,18000
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','1','4','5',80,'01','47',1,110000
'-6','47900','5','2','6','1',23,'02','38',1,45000
'-6','99998','9','2','6','5',29,'04','44',1,25000
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','2','4','1',70,'01','39',4,18100
'-6','47900','5','1','3','1',85,'01','45',1,102000
'-6','99998','6','2','3','1',85,'01','36',1,0
'-6','99998','6','1','4','5',72,'01','32',2,34600
'1','99998','9','2','4','1',66,'01','39',1,12300
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'1','99998','6','2','6','1',23,'02','37',3,25200
'2','99998','6','1','6','1',54,'02','37',2,22000
'1','47900','5','2','6','1',32,'01','45',1,1200
'-6','47900','5','1','4','1',69,'01','44',1,74950
'2','99998','9','1','6','1',31,'03','39',1,20000
'-6','99999','5','2','3','1',80,'01','39',1,21300
'-6','99998','9','2','1','1',50,'01','44',5,308000
'1','99998','9','2','6','1',22,'01','40',3,77000
'2','47900','5','2','4','1',49,'01','43',1,58000
'-6','99998','6','1','1','1',28,'01','40',2,62030
'-6','47900','5','1','1','5',53,'01','33',8,148000
'-6','47900','5','2','4','1',65,'01','44',1,60000
'-6','99998','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','6','1','5','1',58,'02','37',1,10900
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','5','2','1','1',47,'01','42',3,100000
'-6','47900','5','2','1','1',51,'01','39',3,92000
'-6','99998','6','1','1','1',70,'01','39',2,52040
'2','47900','5','1','1','1',36,'02','45',5,130000
'-6','99998','6','1','6','1',47,'02','42',1,80000
'-6','99998','5','2','6','1',31,'02','37',4,8000
'2','99998','5','2','6','1',28,'02','39',1,40300
'-6','99998','6','1','5','1',45,'02','39',4,16900
'-6','99998','6','1','6','1',33,'02','39',1,69000
'2','47900','5','1','6','1',27,'01','40',9,209500
'-6','47900','5','2','3','1',67,'01','45',1,74200
'-6','47900','5','1','1','5',36,'01','33',5,45000
'-6','99998','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','6','2','3','1',85,'02','32',1,24200
'-6','99999','5','1','6','1',34,'01','39',3,14000
'-6','99999','5','2','6','1',27,'01','39',2,182000
'-6','99998','6','2','6','1',41,'02','39',1,14400
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','1','1',61,'01','39',2,37500
'-6','47900','5','2','6','1',63,'02','38',6,25000
'-6','99998','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','1','4','1',57,'02','44',2,148000
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','2','6','1',57,'02','37',2,4200
'2','47900','5','2','6','1',22,'01','44',1,60700
'-6','99998','9','-6','-6','-6',-6,'-6','-6',-6,-6
'2','99999','5','1','1','1',41,'01','39',2,9600
'-6','99999','5','2','1','1',66,'01','44',2,2000
'2','47900','5','1','1','5',61,'04','44',4,70000
'-6','99998','6','2','1','1',47,'01','39',3,114400
'-6','47900','5','2','3','1',77,'01','39',1,43000
'-6','47900','5','2','4','1',61,'01','39',1,38000
'-6','99998','5','2','4','1',56,'01','37',1,5500
'-6','99998','5','2','1','1',38,'01','38',4,333600
'-6','99998','6','2','4','1',62,'02','38',1,5000
'-6','99998','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','6','2','1','1',49,'02','39',5,56000
'-6','99998','9','2','4','4',62,'04','39',3,24700
'2','99998','6','1','6','1',56,'02','36',1,15600
'-6','47900','5','2','3','4',59,'01','40',3,79600
'-6','47900','5','2','6','4',35,'04','44',1,382000
'-6','99998','5','1','1','1',50,'01','40',2,46200
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','2','3','1',76,'02','39',2,1730
'-9','47900','5','2','6','5',25,'01','39',5,76000
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','2','3','1',79,'01','40',1,21600
'-6','99998','9','1','1','1',45,'01','40',2,0
'-6','99998','9','2','3','1',85,'01','39',1,20100
'-6','99999','6','2','4','1',49,'02','38',5,26800
'-6','99998','6','2','3','1',76,'01','36',1,11400
'-6','99998','6','2','3','1',76,'01','39',1,61700
'-6','47900','5','2','1','5',45,'01','41',5,160000
'-6','47900','5','1','2','5',44,'07','38',4,73000
'-6','99998','6','1','1','1',65,'01','41',3,83200
'1','37980','2','2','4','1',68,'01','45',1,2310
'1','37980','2','1','6','1',20,'01','40',2,45000
'-6','37980','2','2','3','1',85,'02','40',1,2630
'-6','99998','2','2','2','1',60,'01','44',1,110000
'-6','99998','5','1','1','4',44,'04','44',3,120000
'-6','99998','8','1','1','1',44,'01','41',3,78000
'-6','99998','2','1','6','1',70,'02','41',1,42000
'-6','99999','7','1','1','1',50,'01','39',3,100000
'-6','99999','5','2','6','1',27,'01','35',1,24000
'-6','99998','5','2','4','4',45,'04','42',1,0
'-6','99998','5','2','6','1',53,'01','39',1,9500
'-6','37980','2','1','4','5',48,'04','39',3,42000
'-6','99998','5','2','6','1',32,'01','36',4,58190
'-6','37980','2','1','5','1',68,'02','44',1,351000
'-6','37980','2','1','2','1',80,'02','44',2,351000
'-6','37980','2','2','1','1',44,'01','45',3,152000
'-6','35620','2','2','1','1',60,'01','39',2,139600
'-6','99998','5','1','6','1',70,'01','44',1,18000
'-6','99998','8','2','4','1',75,'03','43',1,830
'-6','99998','2','1','1','4',72,'04','39',2,50600
'2','99998','2','1','1','1',40,'01','44',3,485000
'-6','99998','5','2','1','1',30,'01','45',2,80000
'-6','99998','8','2','6','1',32,'02','43',2,66000
'-6','99998','7','2','6','1',49,'02','39',2,50000
'2','99998','2','2','5','1',39,'01','39',3,15400
'-6','99998','5','1','6','1',63,'01','43',1,11000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','1','1',53,'01','40',2,70000
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','2','3','1',61,'02','37',1,30000
'-6','99998','2','2','3','1',44,'01','43',1,39300
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','4','1',61,'01','44',1,30000
'2','99998','8','1','6','1',34,'04','44',2,100000
'-6','99998','8','2','4','1',80,'01','40',1,19200
'1','99998','5','2','4','1',31,'01','44',3,67000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','7','2','6','1',35,'02','39',3,6000
'-6','99999','5','2','1','2',40,'01','44',4,105600
'-6','99998','5','1','4','1',64,'01','39',1,45000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','1','1',47,'01','36',3,13800
'-6','37980','2','2','6','1',15,'02','36',5,110000
'-6','37980','2','2','1','1',57,'01','45',2,210800
'-6','99998','5','1','1','1',43,'01','36',4,30000
'2','99998','5','2','6','1',48,'02','40',1,26000
'2','99998','8','1','6','1',37,'01','44',2,316000
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'1','99998','2','2','4','3',51,'01','43',1,20000
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','6','1',64,'01','43',2,31000
'-6','99998','2','2','1','1',65,'01','39',2,53000
'-6','99998','5','1','1','2',77,'01','39',2,28400
'1','99999','7','2','6','1',57,'02','40',1,31200
'-6','99998','2','1','1','1',53,'01','39',3,50000
'-6','99999','5','2','5','1',46,'02','39',2,60400
'-6','99999','7','1','1','1',74,'01','39',2,67600
'-6','99999','5','1','1','1',55,'01','39',2,44000
'-9','99998','5','2','3','1',59,'01','42',1,47000
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','2','6','2',56,'01','39',1,0
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','2','4','1',60,'02','39',1,0
'-9','37980','2','1','5','1',71,'02','39',1,351000
'-6','37980','2','2','6','1',63,'02','39',1,15000
'-6','37980','2','2','1','1',27,'01','44',2,210800
'-6','37980','2','1','1','1',78,'01','45',2,90370
'-6','99998','8','2','1','5',36,'04','47',4,220000
'-6','99998','8','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','8','2','1','4',57,'01','41',4,74000
'-6','99998','5','1','1','1',53,'01','44',2,46360
'-6','99998','7','1','1','3',65,'01','45',2,69200
'-6','99998','5','1','1','2',42,'01','39',2,55000
'-6','99998','5','1','1','1',80,'01','44',2,51700
'-6','99999','7','2','6','1',61,'02','35',1,750
'1','99999','5','2','5','1',36,'02','44',3,770
'-6','99998','2','1','4','1',61,'01','44',1,77600
'-6','99999','5','2','3','1',80,'01','45',1,23510
'1','99998','5','1','4','1',67,'01','38',1,0
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','1','1','4',31,'02','40',2,68000
'-6','37980','2','2','3','1',85,'01','44',1,132000
'-6','99998','5','1','4','1',41,'01','44',1,100000
'1','37980','2','2','1','1',32,'01','44',2,191800
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'2','99998','5','1','4','5',31,'02','36',4,32000
'2','99998','7','1','6','5',30,'01','35',5,18000
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','7','2','1','1',36,'01','40',5,91560
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','5','1',58,'01','39',3,63330
'-6','99998','8','1','4','1',35,'01','44',3,113000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','8','2','3','4',60,'04','44',1,30000
'-6','99998','5','2','4','2',48,'03','43',1,16800
'-6','99998','5','2','6','1',31,'02','40',3,20000
'-6','99999','7','2','3','1',69,'02','36',1,750
'-9','99999','5','2','3','1',70,'01','39',1,12000
'-6','99999','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'1','99998','5','2','4','1',21,'02','38',3,16700
'-6','99998','5','2','3','1',72,'01','47',2,82000
'-6','37980','2','2','1','2',72,'01','39',4,21000
'-6','37980','2','2','5','1',48,'02','40',1,60000
'-6','37980','2','2','1','1',30,'02','44',4,71400
'-6','99998','8','2','4','1',75,'01','45',1,830
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','3','1',61,'01','35',1,8700
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','7','2','3','1',75,'01','39',1,9520
'-6','99999','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','5','2','4','1',40,'02','39',5,42050
'-6','99999','5','2','1','1',58,'02','44',2,51000
'2','99998','5','2','5','1',21,'02','39',3,30000
'-6','37980','2','2','1','4',65,'02','39',2,73600
'-6','37980','2','1','1','2',39,'01','39',9,90008
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'1','37980','2','1','1','1',24,'02','39',2,43000
'-6','99998','8','1','1','1',64,'01','40',2,86200
'-6','99998','8','1','1','4',65,'04','44',2,27000
'-6','99998','2','2','3','1',85,'01','39',2,47000
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-9','99998','5','1','4','1',42,'01','43',2,90000
'-6','99998','2','2','1','1',68,'01','39',2,45200
'-6','99998','2','2','1','1',64,'01','45',2,123000
'2','99998','5','2','4','1',78,'01','44',1,16550
'2','99998','8','2','1','1',63,'01','39',3,22800
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','7','2','6','1',32,'01','40',2,48000
'1','99998','2','2','6','1',50,'01','39',1,9300
'2','99999','5','2','6','1',43,'02','39',4,8500
'-6','99999','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','2','2','3','1',77,'01','39',1,1300
'-6','99998','5','2','1','4',38,'01','39',2,82000
'-9','37980','2','2','1','1',32,'01','38',3,15000
'-6','37980','2','2','3','1',54,'02','44',2,42000
'1','37980','2','2','6','1',26,'01','45',1,65000
'-6','37980','2','1','3','1',68,'01','36',4,31600
'-6','37980','2','2','5','4',74,'01','40',1,9000
'-6','37980','2','1','1','1',32,'01','44',3,380000
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','2','4','1',66,'01','43',2,79000
'-6','99998','5','1','6','1',28,'02','36',2,9300
'-6','99998','8','1','6','3',61,'04','44',3,152500
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','8','1','6','4',67,'04','39',1,660
'-6','99998','8','1','1','1',59,'01','44',2,112700
'-6','99998','5','1','1','1',73,'03','40',2,80300
'-6','99999','5','2','6','1',36,'02','36',4,13000
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-9','99998','5','1','1','1',38,'01','42',4,364000
'-6','37980','2','2','4','1',45,'02','39',3,59500
'-6','37980','2','2','4','1',25,'01','38',1,34000
'-6','37980','2','2','3','1',72,'02','39',3,105300
'-6','37980','2','1','1','1',56,'01','45',3,55000
'2','37980','2','2','6','1',41,'01','39',4,124000
'-6','99998','5','1','1','1',60,'01','44',2,4500
'-6','37980','2','1','3','2',73,'03','39',1,37000
'-6','37980','2','2','1','1',71,'02','45',2,65000
'-6','99998','5','1','6','1',70,'01','44',1,18000
'-6','99998','7','2','3','1',71,'01','40',1,12000
'2','99998','2','1','3','1',73,'01','40',1,37900
'-6','99998','8','1','1','1',74,'01','39',3,33600
'-6','99999','5','1','1','2',57,'02','39',4,49600
'-6','99999','7','2','6','1',21,'01','40',2,12000
'-6','99998','5','2','4','1',43,'01','43',4,37000
'-6','99998','5','2','1','1',80,'01','36',2,51000
'-6','99998','9','1','1','5',32,'01','39',7,7900
'-6','99998','9','-6','-6','-6',-6,'-6','-6',-6,-6
'2','99999','1','1','6','1',33,'01','39',1,53000
'-6','99999','1','1','1','1',70,'01','39',2,134060
'-9','99998','5','2','6','1',80,'01','39',1,9030
'-6','99998','9','2','3','1',68,'01','40',1,9000
'-6','99999','1','1','6','1',30,'01','37',1,28000
'-6','99998','1','2','4','1',67,'01','39',4,43800
'-6','99998','9','2','4','1',77,'01','41',1,12500
'2','99999','1','1','2','5',31,'01','47',1,28000
'-6','99998','9','2','4','1',53,'01','40',1,7900
'-6','99999','1','-6','-6','-6',-6,'-6','-6',-6,-6
'1','99998','9','2','5','1',34,'01','39',3,25200
'-6','99998','9','2','1','1',44,'01','40',6,150000
'-6','99999','1','2','6','1',35,'01','44',2,100000
'2','99998','9','2','6','1',24,'01','44',1,29900
'2','99998','1','1','6','1',25,'01','41',2,102000
'2','99998','9','2','1','1',58,'01','44',2,84900
'-6','99998','5','1','1','3',51,'01','40',4,115000
'2','99998','9','2','4','1',63,'01','40',1,11200
'2','99998','1','1','1','5',39,'01','39',2,49000
'-6','99999','1','1','4','4',60,'01','37',2,66500
'-6','99998','1','2','4','4',43,'02','32',4,24000
'-6','99998','9','2','3','1',75,'01','39',1,12200
'-6','99998','1','2','6','1',26,'01','45',2,222000
'2','99998','9','2','1','1',29,'01','37',2,46000
'-6','99998','1','2','3','1',80,'01','41',3,50400
'-6','37980','2','1','4','1',65,'06','45',1,41700
'-6','99998','1','1','1','1',62,'01','40',2,139000
'-6','99998','1','2','1','5',32,'01','34',4,13000
'-6','37980','2','1','6','1',39,'01','39',1,19000
'2','47900','5','1','3','1',76,'01','45',1,109000
'-6','35620','2','1','1','4',56,'01','44',4,154000
'-6','37980','2','2','1','1',42,'01','45',2,104000
'-6','37980','2','2','3','1',69,'01','38',5,71200
'-6','99998','1','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','2','4','1',85,'01','39',1,27000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','1','6','5',26,'04','45',2,160000
'-6','99998','5','1','4','4',46,'02','47',6,130000
'2','37980','2','2','1','5',39,'04','45',4,310000
'-6','37980','2','1','5','1',52,'02','40',1,53000
'-6','37980','2','2','4','1',57,'01','43',3,104600
'-6','37980','2','1','1','1',53,'01','42',4,124700
'-6','99998','1','1','1','1',72,'01','47',2,22000
'-6','99998','1','2','4','1',57,'01','47',1,25000
'-6','99998','5','2','6','1',21,'01','40',1,4500
'1','99998','1','1','1','1',33,'01','42',3,45000
'-6','35620','2','2','3','4',61,'04','44',2,88600
'-6','37980','2','2','4','1',67,'02','42',2,90000
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','1','1','1',31,'01','45',2,68000
'-6','99998','1','1','6','1',30,'01','44',2,343000
'-6','99998','1','2','3','1',80,'01','39',1,33000
'2','47900','5','1','3','1',80,'02','39',2,51000
'-6','99998','1','2','6','1',65,'01','39',1,16000
'-6','99998','5','2','4','1',56,'02','36',2,9300
'-6','99998','5','2','4','3',50,'01','44',2,28500
'-6','37980','2','1','1','5',66,'04','44',2,64800
'2','37980','2','1','1','5',33,'04','44',4,80000
'-6','37980','2','2','4','1',52,'01','44',2,98000
'-6','37980','2','1','6','1',35,'01','40',3,62000
'-6','99998','1','2','1','1',62,'01','44',2,190000
'-6','47900','5','2','6','1',54,'02','39',4,148500
'-6','99998','5','1','1','1',27,'01','39',4,20300
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','1','4','1',68,'01','45',1,9700
'-6','99998','1','2','3','4',85,'01','39',1,14100
'-6','99998','5','2','6','1',39,'01','40',1,60000
'-6','37980','2','1','1','1',27,'01','39',3,94000
'2','37980','2','1','1','1',32,'01','40',2,95980
'-6','37980','2','2','4','1',68,'02','36',1,15500
'-6','37980','2','1','3','1',80,'01','44',3,233000
'-6','37980','2','2','1','1',36,'01','44',4,205000
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','1','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','6','1',43,'01','39',2,42200
'-6','35620','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','1','1','4',32,'04','44',3,72000
'-6','99998','5','1','1','1',50,'01','44',5,180400
'-6','99998','5','1','4','5',45,'01','44',1,83000
'-6','99998','5','1','4','1',67,'02','38',1,1830
'-6','99998','1','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','1','4','1',39,'01','41',1,60000
'-6','99998','5','1','1','1',59,'01','46',3,249100
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','1','1','3','1',71,'01','40',1,35000
'-6','47900','5','1','2','1',52,'02','44',1,128000
'-6','35620','2','1','1','1',60,'01','45',4,181590
'-6','99998','5','1','6','1',40,'01','40',5,316500
'-6','99998','5','2','1','4',41,'04','44',2,331000
'-6','99998','5','1','1','1',73,'01','44',2,8
'-6','99998','5','1','1','1',37,'01','45',4,291500
'-6','37980','2','1','3','1',73,'02','39',1,43800
'-6','37980','2','2','1','1',42,'01','44',3,112400
'-6','37980','2','2','1','1',31,'01','44',3,60000
'2','37980','2','2','6','2',36,'02','40',7,21900
'-6','99998','1','2','4','1',48,'01','39',3,40000
'-6','99998','5','1','6','1',36,'01','39',2,39300
'-6','99998','5','2','3','1',77,'01','39',1,23500
'-6','37980','2','1','1','3',65,'01','40',3,149000
'1','37980','2','1','1','1',27,'01','45',2,135000
'-6','99998','1','1','4','1',52,'01','43',1,57000
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','5','1',60,'01','39',2,6000
'-6','99998','1','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','2','6','1',50,'02','39',2,38600
'-6','99998','1','2','4','1',85,'01','39',1,19200
'-6','99998','5','2','6','1',73,'02','34',1,1650
'2','99998','1','2','6','1',23,'01','43',3,102900
'2','37980','2','2','1','1',35,'01','44',2,143000
'-6','99998','5','1','1','1',56,'01','46',4,341000
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','1','1','6','1',70,'01','43',2,38400
'-6','99999','9','1','1','1',39,'08','44',4,97600
'-6','99998','1','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','1','1',40,'01','44',5,105910
'2','99998','3','1','1','1',63,'01','44',2,75800
'2','14460','1','2','1','5',28,'01','32',5,101000
'-6','99999','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','5','2','6','1',32,'02','39',4,14000
'-6','99998','3','2','6','1',35,'01','40',5,22000
'-6','99998','3','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','14460','1','1','1','1',76,'01','45',3,47500
'-6','14460','1','1','1','1',59,'01','44',4,300000
'-6','99998','1','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','8','2','6','1',56,'01','37',2,20200
'-6','99998','3','1','6','1',42,'01','34',1,10400
'2','14460','1','1','6','1',45,'01','39',1,42020
'2','14460','1','1','1','5',42,'02','45',3,56200
'-6','14460','1','2','1','1',52,'01','44',3,145600
'-6','14460','1','2','1','1',63,'01','33',2,80000
'-6','14460','1','2','6','1',61,'01','46',1,41980
'-6','99999','9','2','6','1',51,'04','38',3,20000
'2','99998','1','2','6','1',34,'01','35',4,12000
'-6','99999','5','1','1','1',60,'02','44',2,96800
'-6','99998','1','2','3','1',78,'01','41',5,95400
'-6','99998','5','2','6','1',35,'02','39',5,6800
'-6','99998','5','2','3','1',79,'01','35',1,11900
'-6','99999','5','2','6','1',52,'02','35',5,170
'1','99998','3','1','6','1',27,'01','43',1,56000
